IP Address,Common Name,Organization,Country,Locality,Province,Subject Alternative DNS Name,Subject Alternative IP address,Self-signed
"34.105.87.45","vcstanfordhc-vp.myhealth.stanfordhealthcare.org","Stanford University","US","","California","vcstanfordhc-vp.myhealth.stanfordhealthcare.org|gentelehealth.myhealth.stanfordhealthcare.org|poctelehealth.myhealth.stanfordhealthcare.org|stagetelehealth.myhealth.stanfordhealthcare.org|telehealth.myhealth.stanfordhealthcare.org|vcstanfordhc-epic001-gen-gcp-us-or-c.myhealth.stanfordhealthcare.org|vcstanfordhc-events001-gen-gcp-us-or-c.myhealth.stanfordhealthcare.org|vcstanfordhc-nvr001-gen-gcp-us-los-a-turn.myhealth.stanfordhealthcare.org|vcstanfordhc-nvr001-gen-gcp-us-los-a-web.myhealth.stanfordhealthcare.org|vcstanfordhc-nvr001-gen-gcp-us-los-a.myhealth.stanfordhealthcare.org|vcstanfordhc-nvr001-gen-gcp-us-los-c-turn.myhealth.stanfordhealthcare.org|vcstanfordhc-nvr001-gen-gcp-us-los-c-web.myhealth.stanfordhealthcare.org|vcstanfordhc-nvr001-gen-gcp-us-los-c.myhealth.stanfordhealthcare.org|vcstanfordhc-nvr001-gen-gcp-us-or-a-turn.myhealth.stanfordhealthcare.org|vcstanfordhc-nvr001-gen-gcp-us-or-a-web.myhealth.stanfordhealthcare.org|vcstanfordhc-nvr001-gen-gcp-us-or-a.myhealth.stanfordhealthcare.org|vcstanfordhc-nvr001-gen-gcp-us-or-c-turn.myhealth.stanfordhealthcare.org|vcstanfordhc-nvr001-gen-gcp-us-or-c-web.myhealth.stanfordhealthcare.org|vcstanfordhc-nvr001-gen-gcp-us-or-c.myhealth.stanfordhealthcare.org|vcstanfordhc-nvr002-gen-gcp-us-los-a-turn.myhealth.stanfordhealthcare.org|vcstanfordhc-nvr002-gen-gcp-us-los-a-web.myhealth.stanfordhealthcare.org|vcstanfordhc-nvr002-gen-gcp-us-los-a.myhealth.stanfordhealthcare.org|vcstanfordhc-nvr002-gen-gcp-us-los-c-turn.myhealth.stanfordhealthcare.org|vcstanfordhc-nvr002-gen-gcp-us-los-c-web.myhealth.stanfordhealthcare.org|vcstanfordhc-nvr002-gen-gcp-us-los-c.myhealth.stanfordhealthcare.org|vcstanfordhc-nvr002-gen-gcp-us-or-a-turn.myhealth.stanfordhealthcare.org|vcstanfordhc-nvr002-gen-gcp-us-or-a-web.myhealth.stanfordhealthcare.org|vcstanfordhc-nvr002-gen-gcp-us-or-a.myhealth.stanfordhealthcare.org|vcstanfordhc-nvr002-gen-gcp-us-or-c-turn.myhealth.stanfordhealthcare.org|vcstanfordhc-nvr002-gen-gcp-us-or-c-web.myhealth.stanfordhealthcare.org|vcstanfordhc-nvr002-gen-gcp-us-or-c.myhealth.stanfordhealthcare.org|vcstanfordhc-nvr003-gen-gcp-us-los-a-turn.myhealth.stanfordhealthcare.org|vcstanfordhc-nvr003-gen-gcp-us-los-a-web.myhealth.stanfordhealthcare.org|vcstanfordhc-nvr003-gen-gcp-us-los-a.myhealth.stanfordhealthcare.org|vcstanfordhc-nvr003-gen-gcp-us-los-c-turn.myhealth.stanfordhealthcare.org|vcstanfordhc-nvr003-gen-gcp-us-los-c-web.myhealth.stanfordhealthcare.org|vcstanfordhc-nvr003-gen-gcp-us-los-c.myhealth.stanfordhealthcare.org|vcstanfordhc-nvr003-gen-gcp-us-or-a-turn.myhealth.stanfordhealthcare.org|vcstanfordhc-nvr003-gen-gcp-us-or-a-web.myhealth.stanfordhealthcare.org|vcstanfordhc-nvr003-gen-gcp-us-or-a.myhealth.stanfordhealthcare.org|vcstanfordhc-nvr003-gen-gcp-us-or-c-turn.myhealth.stanfordhealthcare.org|vcstanfordhc-nvr003-gen-gcp-us-or-c-web.myhealth.stanfordhealthcare.org|vcstanfordhc-nvr003-gen-gcp-us-or-c.myhealth.stanfordhealthcare.org|vcstanfordhc-nvr004-gen-gcp-us-los-a-turn.myhealth.stanfordhealthcare.org|vcstanfordhc-nvr004-gen-gcp-us-los-a-web.myhealth.stanfordhealthcare.org|vcstanfordhc-nvr004-gen-gcp-us-los-a.myhealth.stanfordhealthcare.org|vcstanfordhc-nvr004-gen-gcp-us-los-c-turn.myhealth.stanfordhealthcare.org|vcstanfordhc-nvr004-gen-gcp-us-los-c-web.myhealth.stanfordhealthcare.org|vcstanfordhc-nvr004-gen-gcp-us-los-c.myhealth.stanfordhealthcare.org|vcstanfordhc-nvr004-gen-gcp-us-or-a-turn.myhealth.stanfordhealthcare.org|vcstanfordhc-nvr004-gen-gcp-us-or-a-web.myhealth.stanfordhealthcare.org|vcstanfordhc-nvr004-gen-gcp-us-or-a.myhealth.stanfordhealthcare.org|vcstanfordhc-nvr004-gen-gcp-us-or-c-turn.myhealth.stanfordhealthcare.org|vcstanfordhc-nvr004-gen-gcp-us-or-c-web.myhealth.stanfordhealthcare.org|vcstanfordhc-nvr004-gen-gcp-us-or-c.myhealth.stanfordhealthcare.org|vcstanfordhc-vp001-gen-gcp-us-los-a.myhealth.stanfordhealthcare.org|vcstanfordhc-vp001-gen-gcp-us-or-c.myhealth.stanfordhealthcare.org","","false"
"34.105.87.58","dougabdiel.com","","","","","dougabdiel.com","","false"
"34.105.87.56","34.82.176.227","","","","","kubernetes|kubernetes.default|kubernetes.default.svc|kubernetes.default.svc.cluster.local","34.82.176.227|10.251.16.1|35.203.142.109|34.105.87.56|34.82.89.236|10.251.255.242","false"
"34.105.87.74","controlpanel.onebox.getpantheon.com","","","","","controlpanel.onebox.getpantheon.com|endpoint1-private.panth.io|endpoint1.panth.io|hermes|hermes-kube-development|hermes-kube-development.panth.io","","false"
"34.105.87.82","34.105.87.82","","","","","kubernetes|kubernetes.default|kubernetes.default.svc|kubernetes.default.svc.cluster.local","34.105.87.82|10.107.128.1|104.196.234.242|35.197.64.114|35.227.150.242|10.138.0.22","false"
"34.105.87.105","34.168.238.252","","","","","kubernetes|kubernetes.default|kubernetes.default.svc|kubernetes.default.svc.cluster.local","34.168.238.252|10.179.27.1|34.83.62.253|34.105.87.105|34.105.66.55|10.82.205.242","false"
"34.105.87.108","34.82.27.230","","","","","kubernetes|kubernetes.default|kubernetes.default.svc|kubernetes.default.svc.cluster.local","34.82.27.230|10.47.240.1|34.105.87.108|34.83.166.213|34.105.16.142","false"
"34.105.87.114","35.227.147.206","","","","","kubernetes|kubernetes.default|kubernetes.default.svc|kubernetes.default.svc.cluster.local","35.227.147.206|10.112.0.1|34.82.97.198|34.105.87.114|35.227.138.110|10.138.0.3","false"
"34.105.87.138","34.105.87.138","","","","","kubernetes|kubernetes.default|kubernetes.default.svc|kubernetes.default.svc.cluster.local","34.105.87.138|34.118.224.1|35.203.164.170|35.247.35.39|35.199.145.163|10.138.0.2","false"
"34.105.87.140","35.247.84.53","","","","","kubernetes|kubernetes.default|kubernetes.default.svc|kubernetes.default.svc.cluster.local","35.247.84.53|10.101.0.1|34.105.87.140|35.185.231.231|34.168.137.13|192.168.100.2","false"
