IP Address,Common Name,Organization,Country,Locality,Province,Subject Alternative DNS Name,Subject Alternative IP address,Self-signed
"54.167.138.79","ai-suggested-solution.dev.skyu.io","","","","","ai-suggested-solution.dev.skyu.io","","false"
"54.167.138.81","*.aptos.io","","","","","*.aptos.io","","false"
"54.167.138.84","CloudFlare Origin Certificate","CloudFlare, Inc.","","","","*.pakkteyengineering.com|pakkteyengineering.com","","false"
"54.167.138.88","www.davisandco.com","Davis & Company, Inc.","US","Montvale","New Jersey","www.davisandco.com|davisandco.com","","false"
"54.167.138.96","rpc-payments-server.dev.latchaccess.com","","","","","rpc-payments-server.dev.latchaccess.com","","false"
"54.167.138.101","kube-apiserver","","","","","14297fa4e39467a51842994b39ceda85.gr7.us-east-1.eks.amazonaws.com|ip-10-0-48-190.ec2.internal|kubernetes|kubernetes.default|kubernetes.default.svc|kubernetes.default.svc.cluster.local","10.100.0.1|192.168.67.44|10.0.48.190","false"
"54.167.138.102","Kubernetes Ingress Controller Fake Certificate","Acme Co","","","","ingress.local","","true"
"54.167.138.99","*.inovalon.com","Inovalon, Inc.","US","Bowie","Maryland","*.inovalon.com|inovalon.com","","false"
"54.167.138.140","dev.videri.com","","","","","dev.videri.com|qa.videri.com|*.qa.videri.com|*.dev.videri.com","","false"
"54.167.138.149","*.multimarcabien.com.mx","","","","","*.multimarcabien.com.mx|multimarcabien.com.mx","","false"
"54.167.138.152","apicl.flagstar.com","Flagstar Bank, N.A.","US","Hicksville","New York","apicl.flagstar.com","","false"
"54.167.138.158","*.kik.com","","","","","*.kik.com|kik.com","","false"
"54.167.138.170","299712487168.splunk.partner.aws.dev","","","","","299712487168.splunk.partner.aws.dev","","false"
"54.167.138.180","*.updategfiles.com","","","","","*.updategfiles.com","","false"
"54.167.138.184","*.mspws.net","","","","","*.mspws.net","","false"
"54.167.138.209","eventsdragon.com","","","","","eventsdragon.com|*.eventsdragon.com","","false"
"54.167.138.218","Kubernetes Ingress Controller Fake Certificate","Acme Co","","","","ingress.local","","true"
"54.167.138.223","runtimeprod.smartbots.us","","","","","runtimeprod.smartbots.us","","false"
"54.167.138.227","vmdservice-na-prod.iad.amazon.com","Amazon.com Inc.","US","Seattle","Washington","vmdservice-na-prod.iad.amazon.com","","false"
"54.167.138.255","*.gracehillvision.com","","","","","*.gracehillvision.com|*.qa.gracehillvision.com|*.uat.gracehillvision.com|gracehillvision.com|*.dev.gracehillvision.com|*.test.gracehillvision.com","","false"
"54.167.139.5","*.us-east-1.cloudsearch.amazonaws.com","","","","","*.us-east-1.cloudsearch.amazonaws.com","","false"
"54.167.139.7","alert-service.htvkubeprod.htvapps.net","","","","","alert-service.htvkubeprod.htvapps.net","","false"
"54.167.139.19","*.dev.shdsvc.dowjones.io","","","","","*.dev.shdsvc.dowjones.io","","false"
"54.167.139.34","dynamic","dynamic","","","","1244719634|account.mojang.com|api.ilamb.io|api.mojang.com|ec2-18-234-48-74.compute-1.amazonaws.com|ec2-54-165-39-122.compute-1.amazonaws.com|ec2-54-211-188-63.compute-1.amazonaws.com|gop00.ape.freenetx.cn|gop00.gae.freenetx.cn|gop01.ape.freenetx.cn|gop01.gae.freenetx.cn|jp01-awsls.freenetv.com|localhost|mbed|mybox.freenetv.com|mybox.freenetx.cn|proxy.shop|rancher.cattle-system|rancher.edge-ops.io|rancher.infra.ustpace.com|sg01.gce.freenetv.com|sg01.gce.freenetx.cn|tesob.ikpygo.xqwqh|wikibuy.com|www.bing.com|www.google-analytics.com|www.neuralia.co|zzzzzzz.com","100.26.91.103|123.125.114.144|123.126.104.68|127.0.0.1|169.254.169.254|172.17.0.2|172.31.30.229|18.205.82.178|18.232.226.178|18.234.48.74|185.156.73.91|192.168.0.1|34.196.103.127|34.199.51.92|34.225.244.168|5.188.210.101|50.7.136.194|51.77.91.132|52.205.122.66|52.72.212.101|54.165.39.122|54.165.83.229|54.211.188.63","false"
"54.167.139.31","aga-alb.web.us-east-1.prod.diagnostic.networking.aws.dev","","","","","aga-alb.web.us-east-1.prod.diagnostic.networking.aws.dev|aga.web.us-east-1.prod.diagnostic.networking.aws.dev|web.diagnostic.networking.aws.dev","","false"
"54.167.139.37","acceleratorhub-dev.lexmark.com","","","","","acceleratorhub-dev.lexmark.com","","false"
"54.167.139.47","*.cloud.teamcenter.com","Siemens Industry Software Inc.","US","Milford","Ohio","*.cloud.teamcenter.com|cloud.teamcenter.com","","false"
