IP Address,Common Name,Organization,Country,Locality,Province,Subject Alternative DNS Name,Subject Alternative IP address,Self-signed
"52.194.54.73","dummy","","","","","","","true"
"52.194.54.69","*.nexon.com","NEXON Korea Corporation","KR","Seongnam-si","Gyeonggi-do","*.nexon.com|nexon.com","","false"
"52.194.54.75","simulator.town-hikkoshi.com","","","","","simulator.town-hikkoshi.com","","false"
"52.194.54.76","*.dev.iryond.com","","","","","*.dev.iryond.com","","false"
"52.194.54.82","test-mypage.fukoku-life.co.jp","FUKOKU MUTUAL LIFE INSURANCE COMPANY","JP","Chiyoda-ku","Tokyo","test-mypage.fukoku-life.co.jp","","false"
"52.194.54.79","kube-apiserver","","","","","afc115278029455d5597c8ae15651723.gr7.ap-northeast-1.eks.amazonaws.com|ip-10-0-108-29.ap-northeast-1.compute.internal|kubernetes|kubernetes.default|kubernetes.default.svc|kubernetes.default.svc.cluster.local","10.100.0.1|172.22.24.122|10.0.108.29","false"
"52.194.54.81","4all.jp","","","","","4all.jp|iikawa.co.jp|www.xv16.com|www.xv16.jp|xv16.com|xv16.jp","","false"
"52.194.54.85","Kubernetes Ingress Controller Fake Certificate","Acme Co","","","","ingress.local","","true"
"52.194.54.90","*.eh3jk76s86ro2.ap-northeast-1.cs.amazonlightsail.com","","","","","*.eh3jk76s86ro2.ap-northeast-1.cs.amazonlightsail.com","","false"
"52.194.54.91","seedsjp.com","","","","","seedsjp.com|*.seedsjp.com|*.okajob.com|okajob.com|*.hirojob.com|hirojob.com","","false"
"52.194.54.102","*.xdd.e2e-x-rental.jp","","","","","*.xdd.e2e-x-rental.jp","","false"
"52.194.54.111","*.dip.ai","","","","","*.dip.ai|dip.ai","","false"
"52.194.54.109","*.video-api.arcpublishing.com","","","","","*.video-api.arcpublishing.com","","false"
"52.194.54.113","truck-malos.com","","","","","truck-malos.com","","false"
"52.194.54.114","emma.active-brain-club.com","","","","","emma.active-brain-club.com|*.emma.active-brain-club.com","","false"
