IP Address,Common Name,Organization,Country,Locality,Province,Subject Alternative DNS Name,Subject Alternative IP address,Self-signed
"47.128.171.96","kube-apiserver","","","","","a597d5674c4dd7d74c10e0dac173b3f7.gr7.ap-southeast-1.eks.amazonaws.com|ip-10-0-103-238.ap-southeast-1.compute.internal|kubernetes|kubernetes.default|kubernetes.default.svc|kubernetes.default.svc.cluster.local","10.100.0.1|70.0.20.163|10.0.103.238","false"
"47.128.171.92","*.kredivo.com","PT. FINACCEL TEKNOLOGI INDONESIA","ID","Jakarta Pusat","","*.kredivo.com|kredivo.com","","false"
"47.128.171.111","*.iota.amagi.tv","","","","","*.iota.amagi.tv","","false"
"47.128.171.121","*.voyagerinnovation.com","","","","","*.voyagerinnovation.com","","false"
"47.128.171.125","awetonet-original.dv9.com","","","","","awetonet-original.dv9.com","","false"
"47.128.171.132","metabase-generic.codingninjas.com","","","","","metabase-generic.codingninjas.com","","false"
"47.128.171.142","careers-uat.smretailinc.com","","","","","careers-uat.smretailinc.com|*.careers-uat.smretailinc.com","","false"
"47.128.171.148","*.ap-southeast-1.es.amazonaws.com","","","","","*.ap-southeast-1.es.amazonaws.com","","false"
"47.128.171.151","homepartners.dev","","","","","homepartners.dev|*.homepartners.dev","","false"
"47.128.171.155","*.biddingwin.com","","","","","*.biddingwin.com","","false"
"47.128.171.159","global.royalabc.com","","","","","global.royalabc.com|ap1.royalabc.com","","false"
"47.128.171.169","dev-amea.api.connect-retailer-users.syndpe.com","","","","","dev-amea.api.connect-retailer-users.syndpe.com|dev-amea.api.connect-retailer-assets.syndpe.com|dev-amea.api.connect-retailer-gateway.syndpe.com|dev-amea.api.connect-retailer-notifications.syndpe.com|dev-amea.api.connect-retailer-points.syndpe.com","","false"
"47.128.171.175","telifi.xyz","","","","","telifi.xyz|*.telifi.xyz","","false"
"47.128.171.178","laragon","Laragon","SG","Singapore","Singapore","localhost|stagingpetrolpos.edkamm.com|*.stagingpetrolpos.edkamm.com","","true"
"47.128.171.181","example.com","","","","","example.com|www.example.com","127.0.0.1","true"
"47.128.171.182","*.ranking.works","","","","","*.ranking.works","","false"
"47.128.171.190","CloudFlare Origin Certificate","CloudFlare, Inc.","","","","*.ninjaslot88.com|ninjaslot88.com","","false"
