IP Address,Common Name,Organization,Country,Locality,Province,Subject Alternative DNS Name,Subject Alternative IP address,Self-signed
"44.207.61.8","*.efvoyages.ca","Signum International AG","CH","","Zürich","*.efvoyages.ca|*.efcollegestudytours.com|*.efexploreamerica.com|*.efstudyabroad.com|*.eftours.ca|*.eftours.com|efcollegestudytours.com|efexploreamerica.com|efstudyabroad.com|eftours.ca|eftours.com|efvoyages.ca","","false"
"44.207.61.10","*.prolinksolutions.com","","","","","*.prolinksolutions.com","","false"
"44.207.61.13","*.empleosinclusivos.com","","","","","*.empleosinclusivos.com|empleosinclusivos.com","","false"
"44.207.61.25","conmon-dashboard.everbridge.com","","","","","conmon-dashboard.everbridge.com|www.conmon-dashboard.everbridge.com","","false"
"44.207.61.26","Kubernetes Ingress Controller Fake Certificate","Acme Co","","","","ingress.local","","true"
"44.207.61.43","*.dom5183.com","","","","","*.dom5183.com|dom5183.com","","false"
"44.207.61.46","*.muysabio.com","","","","","*.muysabio.com","","false"
"44.207.61.60","TRAEFIK DEFAULT CERT","","","","","633f2ac043f686e68c32ff2f74f4b6c5.5ca3cb35e80cc7dd1bf12ecc9838fcc4.traefik.default","","true"
"44.207.61.64","*.imedidata.net","Medidata Solutions, Inc","US","New York","New York","*.imedidata.net|imedidata.net","","false"
"44.207.61.74","*.solutions.hsntech.com","","","","","*.solutions.hsntech.com|solutions.hsntech.com","","false"
"44.207.61.77","*.xenial.com","Global Payments Inc.","US","Atlanta","Georgia","*.xenial.com|xenial.com|bomgar.xenial.com","","false"
"44.207.61.85","*.cp.api.test.godaddy.com","","","","","*.cp.api.test.godaddy.com|cp.api.test.godaddy.com","","false"
"44.207.61.110","*.development.prometheusgroup.app","","","","","*.development.prometheusgroup.app","","false"
"44.207.61.108","*.api.pixilated.com","","","","","*.api.pixilated.com|api.pixilated.com","","false"
"44.207.61.117","fite.rdm.abacusqa.abacusinsights.ai","","","","","fite.rdm.abacusqa.abacusinsights.ai","","false"
"44.207.61.120","d.liadm.com","Criteo Technology SAS","FR","Paris","Île-de-France","d.liadm.com","","false"
"44.207.61.124","*.naturalgrocers.com","","","","","*.naturalgrocers.com|naturalgrocers.com","","false"
"44.207.61.134","*.dsp-plus-backend.aws.oath.cloud","","","","","*.dsp-plus-backend.aws.oath.cloud","","false"
"44.207.61.154","laborpay.com","","","","","laborpay.com|www.dev.laborpay.com|www.staging.laborpay.com|www.laborpay.com|dev.laborpay.com|staging.laborpay.com","","false"
"44.207.61.153","*.usecapsule.com","","","","","*.usecapsule.com|*.app.usecapsule.com|*.prod.usecapsule.com","","false"
"44.207.61.161","jxytb.qrveyapp.com","","","","","jxytb.qrveyapp.com|api-jxytb.qrveyapp.com","","false"
"44.207.61.174","*.4m5c3ml1smvgm.us-east-1.cs.amazonlightsail.com","","","","","*.4m5c3ml1smvgm.us-east-1.cs.amazonlightsail.com","","false"
"44.207.61.177","*.stg-sessionm.com","","","","","*.stg-sessionm.com|stg-sessionm.com","","false"
"44.207.61.179","giftcardreporting.gearboxpublishing.com","","","","","giftcardreporting.gearboxpublishing.com","","false"
"44.207.61.184","*.us-east-1.es.amazonaws.com","","","","","*.us-east-1.es.amazonaws.com","","false"
"44.207.61.193","*.matrixdobrasil.ai","","","","","*.matrixdobrasil.ai|matrixdobrasil.ai","","false"
"44.207.61.194","kube-apiserver","","","","","48a927b4f730107648c76b95c9a2b642.gr7.us-east-1.eks.amazonaws.com|ip-172-16-166-230.ec2.internal|kubernetes|kubernetes.default|kubernetes.default.svc|kubernetes.default.svc.cluster.local","172.20.0.1|10.67.122.233|172.16.166.230","false"
"44.207.61.196","Kubernetes Ingress Controller Fake Certificate","Acme Co","","","","ingress.local","","true"
"44.207.61.197","telemetria.ejesatelital.com","","","","","telemetria.ejesatelital.com","","false"
"44.207.61.202","example.com","","","","","","","true"
"44.207.61.203","*.nxplay.com.br","","","","","*.nxplay.com.br","","false"
"44.207.61.210","*.code.topcon.com","","","","","*.code.topcon.com|code.topcon.com","","false"
"44.207.61.222","*.us-east-1.awsapprunner.com","","","","","*.us-east-1.awsapprunner.com","","false"
"44.207.61.231","*.webhse.com","","","","","*.webhse.com|webhse.com","","false"
"44.207.61.233","*.therapayrewards.com","","","","","*.therapayrewards.com|*.pre-production.therapayrewards.com","","false"
"44.207.61.237","*.apps-production.29next.com","","","","","*.apps-production.29next.com","","false"
"44.207.61.238","tools.cd56-prod-illumicare.io","","","","","tools.cd56-prod-illumicare.io","","false"
"44.207.61.248","*.us-east-1.es.amazonaws.com","","","","","*.us-east-1.es.amazonaws.com|*.cell-02.us-east-1.es.amazonaws.com","","false"
"44.207.61.254","*.lab.test.zoominsoftware.io","","","","","*.lab.test.zoominsoftware.io","","false"
"44.207.62.3","devops.hotmart.com","","","","","devops.hotmart.com|*.devops.hotmart.com|*.vulcano.rocks|vulcano.rocks","","false"
"44.207.62.2","*.qat-1.hub-1.buildersmutual-dev.assure.dxc.com","","","","","*.qat-1.hub-1.buildersmutual-dev.assure.dxc.com|qat-1.hub-1.buildersmutual-dev.assure.dxc.com","","false"
"44.207.61.220","*.siesacloud.com","","","","","*.siesacloud.com|siesacloud.com","","false"
"44.207.62.11","*.sketch-swap.com","","","","","*.sketch-swap.com|sketch-swap.com|www.sketch-swap.com","","false"
"44.207.62.19","origin.dcp.dcp.production.k2.m1.brightspot.cloud","","","","","origin.dcp.dcp.production.k2.m1.brightspot.cloud|*.cms.dcp.dcp.production.k2.m1.brightspot.cloud|static.dcp.dcp.production.k2.m1.brightspot.cloud|*.dcp.dcp.production.k2.m1.brightspot.cloud|*.origin.dcp.dcp.production.k2.m1.brightspot.cloud|verify.cms.dcp.dcp.production.k2.m1.brightspot.cloud|dcp.dcp.production.k2.m1.brightspot.cloud|verify.origin.dcp.dcp.production.k2.m1.brightspot.cloud|cms.dcp.dcp.production.k2.m1.brightspot.cloud","","false"
"44.207.62.21","*.dairy.com","","","","","*.dairy.com|*.temp.dairy.com|*.prodaws.dairy.com","","false"
"44.207.62.24","api.encurtador.dev","","","","","api.encurtador.dev","","false"
"44.207.62.38","*.us-east-1.es.amazonaws.com","","","","","*.us-east-1.es.amazonaws.com|*.cell-02.us-east-1.es.amazonaws.com","","false"
"44.207.62.42","*.dev.mtacp.info","","","","","*.dev.mtacp.info","","false"
"44.207.62.41","*.cloud.pmmimediagroup.com","","","","","*.cloud.pmmimediagroup.com|converge.cloud.pmmimediagroup.com|*.converge.cloud.pmmimediagroup.com|*.prospector.cloud.pmmimediagroup.com|prospector.cloud.pmmimediagroup.com","","false"
