IP Address,Common Name,Organization,Country,Locality,Province,Subject Alternative DNS Name,Subject Alternative IP address,Self-signed
"18.198.215.67","kube-apiserver","","","","","4f21abb41551fa3c0f17f9a8cf2b540e.gr7.eu-central-1.eks.amazonaws.com|ip-172-16-172-160.eu-central-1.compute.internal|kubernetes|kubernetes.default|kubernetes.default.svc|kubernetes.default.svc.cluster.local","172.20.0.1|10.250.45.195|172.16.172.160","false"
"18.198.215.83","*.superdesk.pro","","","","","*.superdesk.pro","","false"
"18.198.215.74","*.e-spirit.hosting","","","","","*.e-spirit.hosting|e-spirit.hosting","","false"
"18.198.215.90","kube-apiserver","","","","","353bd3c70f6ba3b6bbbb433b887631b8.gr7.eu-central-1.eks.amazonaws.com|ip-10-0-186-227.eu-central-1.compute.internal|kubernetes|kubernetes.default|kubernetes.default.svc|kubernetes.default.svc.cluster.local","10.100.0.1|192.168.157.161|10.0.186.227","false"
"18.198.215.85","*.lucanet.com","LucaNet AG","DE","Berlin","Berlin","*.lucanet.com|lucanet.com","","false"
"18.198.215.100","*.frontify.com","Frontify AG","CH","St. Gallen","","*.frontify.com|frontify.com","","false"
"18.198.215.117","kube-apiserver","","","","","343a028da93f688a4e17cebda0013e4d.gr7.eu-central-1.eks.amazonaws.com|ip-172-16-173-63.eu-central-1.compute.internal|kubernetes|kubernetes.default|kubernetes.default.svc|kubernetes.default.svc.cluster.local","172.20.0.1|10.60.146.122|172.16.173.63","false"
"18.198.215.116","*.eu-central-1.es.amazonaws.com","","","","","*.eu-central-1.es.amazonaws.com","","false"
"18.198.215.124","mcstaging2.tizpw7zdlio5e.dummycachetest.com","Magento Cloud","FR","","","","","true"
"18.198.215.126","*.staging.ichigo.be","","","","","*.staging.ichigo.be","","false"
"18.198.215.129","kube-apiserver","","","","","dff3f9e4d2af0d8c010ac865a9cee133.gr7.eu-central-1.eks.amazonaws.com|ip-10-0-55-189.eu-central-1.compute.internal|kubernetes|kubernetes.default|kubernetes.default.svc|kubernetes.default.svc.cluster.local","10.100.0.1|172.31.71.91|10.0.55.189","false"
"18.198.215.122","*.execute-api.eu-central-1.amazonaws.com","","","","","*.execute-api.eu-central-1.amazonaws.com","","false"
"18.198.215.136","*.ldsvcplatform.com","","","","","*.ldsvcplatform.com|ldsvcplatform.com","","false"
"18.198.215.125","kube-apiserver","","","","","9a6e160a1e018c3be42b9484269ccb15.gr7.eu-central-1.eks.amazonaws.com|ip-10-0-111-32.eu-central-1.compute.internal|kubernetes|kubernetes.default|kubernetes.default.svc|kubernetes.default.svc.cluster.local","10.100.0.1|172.20.27.195|10.0.111.32","false"
"18.198.215.133","mqtt.dev-uk1.vodafone.wifimotion.ca","","","","","mqtt.dev-uk1.vodafone.wifimotion.ca","","false"
"18.198.215.143","stmartingarrigue.com","","","","","stmartingarrigue.com","","false"
"18.198.215.151","va.test.iouerghi.people.aws.dev","","","","","va.test.iouerghi.people.aws.dev","","false"
"18.198.215.167","*.ai-know-qa.com","","","","","*.ai-know-qa.com","","false"
"18.198.215.168","agro-max.com.ua","","","","","agro-max.com.ua|www.agro-max.com.ua","","false"
"18.198.215.159","*.planzer.ch","Planzer Holding AG","CH","Seewen","SZ","*.planzer.ch","","false"
"18.198.215.156","hanacloud.ondemand.com","SAP SE","DE","Walldorf","Baden-Württemberg","hanacloud.ondemand.com|*.ingress.hana.i028506-haas-hc-dev.dev-aws.hanacloud.ondemand.com|*.gateway.hana.i028506-haas-hc-dev.dev-aws.hanacloud.ondemand.com|*.hana.i028506-haas-hc-dev.dev-aws.hanacloud.ondemand.com|*.mi0.hana.i028506-haas-hc-dev.dev-aws.hanacloud.ondemand.com|*.jwt.hana.i028506-haas-hc-dev.dev-aws.hanacloud.ondemand.com|*.a5r.hana.i028506-haas-hc-dev.dev-aws.hanacloud.ondemand.com|*.connectivity.hana.i028506-haas-hc-dev.dev-aws.hanacloud.ondemand.com|*.ingress.orchestration.i028506-orc-hc-dev.dev-aws.hanacloud.ondemand.com|*.gateway.orchestration.i028506-orc-hc-dev.dev-aws.hanacloud.ondemand.com|*.hana-tooling.ingress.orchestration.i028506-orc-hc-dev.dev-aws.hanacloud.ondemand.com|*.cf.hana-tooling.ingress.orchestration.i028506-orc-hc-dev.dev-aws.hanacloud.ondemand.com","","false"
"18.198.215.160","*.checkout-test.zalan.do","","","","","*.checkout-test.zalan.do","","false"
"18.198.215.175","*.1password.eu","","","","","*.1password.eu|1password.eu","","false"
"18.198.215.187","*.test.logista.plus.movilizer.cloud","","","","","*.test.logista.plus.movilizer.cloud|test.logista.plus.movilizer.cloud","","false"
"18.198.215.191","*.iot.eu-central-1.amazonaws.com","","","","","iot.eu-central-1.amazonaws.com|*.iot.eu-central-1.amazonaws.com","","false"
"18.198.215.194","warmtelinq.gradyent.ai","","","","","warmtelinq.gradyent.ai|*.warmtelinq.gradyent.ai","","false"
"18.198.215.189","*.paymobsolutions.com","","","","","*.paymobsolutions.com|paymobsolutions.com","","false"
"18.198.215.201","TRAEFIK DEFAULT CERT","","","","","0ee4922e19ac98e42f778484cb890f75.7fe9b4e66bf659ae1ead0bf23b6473a3.traefik.default","","true"
"18.198.215.199","*.aitum.services","","","","","*.aitum.services","","false"
"18.198.215.206","routerSSL","","","","","cf.eu12.hana.ondemand.com|*.cf.eu12.hana.ondemand.com","","false"
"18.198.215.207","chocolate.lagun.skubacz.pl","","","","","chocolate.lagun.skubacz.pl","","false"
"18.198.215.221","3-11.stage-breathesmart.aptardigitalhealth.com","","","","","3-11.stage-breathesmart.aptardigitalhealth.com|admin.3-11.stage-breathesmart.aptardigitalhealth.com|admin.stage-3.10.cohero-health.com|cc.3-11.stage-breathesmart.aptardigitalhealth.com|cc.stage-3.10.cohero-health.com|stage-3.10.cohero-health.com|stage-breathesmart.aptardigitalhealth.com","","false"
"18.198.215.223","*.staging.pihlajalinna.fi","","","","","*.staging.pihlajalinna.fi","","false"
"18.198.215.226","*.bay2416964-21343-bm.ez.sats.cloud","","","","","*.bay2416964-21343-bm.ez.sats.cloud","","false"
"18.198.215.229","*.inmindcloud.com","In Mind Cloud","SG","Singapore","","*.inmindcloud.com|inmindcloud.com","","false"
"18.198.215.243","*.execute-api.eu-central-1.amazonaws.com","","","","","*.execute-api.eu-central-1.amazonaws.com","","false"
"18.198.215.238","*.aws.tiomarkets.com","","","","","*.aws.tiomarkets.com","","false"
"18.198.215.250","kube-apiserver","","","","","78ed90dda16f2a8e0f8c7f31660c2b9f.gr7.eu-central-1.eks.amazonaws.com|ip-172-16-107-239.eu-central-1.compute.internal|kubernetes|kubernetes.default|kubernetes.default.svc|kubernetes.default.svc.cluster.local","172.20.0.1|10.70.3.119|172.16.107.239","false"
"18.198.215.252","*.tp4ctinu4g9oa.eu-central-1.cs.amazonlightsail.com","","","","","*.tp4ctinu4g9oa.eu-central-1.cs.amazonlightsail.com","","false"
"18.198.215.253","goldbeck.live.itonicsit.de","","","","","goldbeck.live.itonicsit.de","","false"
"18.198.216.0","rabam.com","","","","","rabam.com|rabam.com.tr|*.rabam.com.tr|*.rabam.com","","false"
"18.198.216.5","*.data-in-eu.funnel.io","","","","","*.data-in-eu.funnel.io","","false"
"18.198.216.6","*.msc-eu-dev.wkgposvc.cloud","","","","","*.msc-eu-dev.wkgposvc.cloud","","false"
"18.198.216.2","diversual.com","","","","","diversual.com|*.diversual.com|*.pro.diversual.com","","false"
