IP Address,Common Name,Organization,Country,Locality,Province,Subject Alternative DNS Name,Subject Alternative IP address,Self-signed
"13.226.178.120","*.line-scdn.net","","","","","*.line-scdn.net|*.linegame.jp|*.line-apps.com|*.line.me|rr.img1.naver.jp|*.linecorp.com|rr.img.line.naver.jp|rr.img.naver.jp|*.line-beta.me|*.naver.jp|*.line-apps-beta.com|*.line.naver.jp","","false"
"13.226.178.137","staticapp.icpsc.com","","","","","staticapp.icpsc.com|www.staticapp.icpsc.com","","false"
"13.226.178.135","*.samsungosp.com","Samsung Electronics Co.,Ltd.","KR","Suwon-si","Gyeonggi-do","*.samsungosp.com|samsungosp.com","","false"
"13.226.178.231","*.trusteer.com","International Business Machines Corporation","US","Armonk","New York","*.trusteer.com|trusteer.com","","false"
"13.226.178.234","*.cafewellstage.com","","","","","*.cafewellstage.com","","false"
"13.226.178.192","*.awsapps.com","","","","","*.awsapps.com|*.awsapps.net","","false"
"13.226.178.252","ip-hoarder.cloudfront.aws.dev","","","","","ip-hoarder.cloudfront.aws.dev|*.ip-hoarder.cloudfront.aws.dev","","false"
"13.226.178.230","*.awsapps.com","","","","","*.awsapps.com|*.awsapps.net","","false"
"13.226.178.197","ecnavi.jp.dev.ecnavi.org","","","","","ecnavi.jp.dev.ecnavi.org|*.research.ecnavi.jp.dev.ecnavi.org|research.ecnavi.jp.dev.ecnavi.org|*.ecnavi.jp.dev.ecnavi.org","","false"
"13.226.178.215","dev-aws-dcsgtk.wni.co.jp","","","","","dev-aws-dcsgtk.wni.co.jp","","false"
"13.226.178.242","ip-hoarder.cloudfront.aws.dev","","","","","ip-hoarder.cloudfront.aws.dev|*.ip-hoarder.cloudfront.aws.dev","","false"
"13.226.178.198","prod.ota-cloudfront.net","","","","","prod.ota-cloudfront.net|d1s31zyz7dcc2d.cloudfront.prod.ota-cloudfront.net","","false"
"13.226.178.244","ip-hoarder.cloudfront.aws.dev","","","","","ip-hoarder.cloudfront.aws.dev|*.ip-hoarder.cloudfront.aws.dev","","false"
"13.226.178.210","mfi-tc02.fnopf.jp","FeliCa Networks, Inc.","JP","Shinagawa-Ku","Tokyo","mfi-tc02.fnopf.jp","","false"
"13.226.178.236","api.stg.smartpass.auone.jp","","","","","api.stg.smartpass.auone.jp","","false"
"13.226.178.196","tastylive.com","","","","","tastylive.com|*.tastylive.com","","false"
"13.226.178.186","client.wc.ue1.app.chime.aws","","","","","client.wc.ue1.app.chime.aws|webclient.app.chime.aws","","false"
"13.226.178.194","*.withbuddies.com","","","","","*.withbuddies.com|*.apiodyth.com|*.prod.dice.withbuddies.com","","false"
"13.226.178.184","*.olv.nintendo.net","Nintendo Co., Ltd.","JP","Kyoto","Kyoto-fu","","","false"
"13.226.178.161","video.counsyl.com","","","","","video.counsyl.com|*.counsyl.com","","false"
"13.226.178.206","pv.media-amazon.com","","","","","pv.media-amazon.com","","false"
"13.226.178.243","ip-hoarder.cloudfront.aws.dev","","","","","ip-hoarder.cloudfront.aws.dev|*.ip-hoarder.cloudfront.aws.dev","","false"
"13.226.178.205","alb.edof.people.aws.dev","","","","","alb.edof.people.aws.dev","","false"
"13.226.178.253","ip-hoarder.cloudfront.aws.dev","","","","","ip-hoarder.cloudfront.aws.dev|*.ip-hoarder.cloudfront.aws.dev","","false"
"13.226.178.201","omsdocs.magento.com","","","","","omsdocs.magento.com","","false"
"13.226.178.251","ip-hoarder.cloudfront.aws.dev","","","","","ip-hoarder.cloudfront.aws.dev|*.ip-hoarder.cloudfront.aws.dev","","false"
"13.226.178.250","ip-hoarder.cloudfront.aws.dev","","","","","ip-hoarder.cloudfront.aws.dev|*.ip-hoarder.cloudfront.aws.dev","","false"
"13.226.178.216","*.green-entrepreneurship.co","","","","","*.green-entrepreneurship.co","","false"
"13.226.178.254","sc-static.net","","","","","sc-static.net","","false"
"13.226.178.188","*.staging.thescore.com","","","","","*.staging.thescore.com|*.thescore.com","","false"
"13.226.178.249","ip-hoarder.cloudfront.aws.dev","","","","","ip-hoarder.cloudfront.aws.dev|*.ip-hoarder.cloudfront.aws.dev","","false"
"13.226.178.191","www.3ds-dc.hsbc.com.bd","The Hongkong and Shanghai Banking Corporation Limited","HK","Central","","www.3ds-dc.hsbc.com.bd|3ds-dc.hsbc.com.sg","","false"
"13.226.178.217","*.koa.or.kr","","","","","*.koa.or.kr","","false"
"13.226.179.4","*.creativelive.com","CreativeLive Inc.","US","Seattle","Washington","*.creativelive.com|creativelive.com|admin.test.creativelive.com|cdn.test.creativelive.com|api.test.creativelive.com|test.creativelive.com","","false"
"13.226.178.214","signatures.juniper.net","","","","","signatures.juniper.net|sus-prod.junipercloud.net|sus-prod-r53.junipercloud.net|sus-prod-cdn.junipercloud.net|services.netscreen.com","","false"
"13.226.178.189","*.insead.edu","Institut Europ Administ Affair","FR","Fontainebleau","","*.insead.edu|insead.edu","","false"
"13.226.178.187","logistics.amazon.com","","","","","logistics.amazon.co.uk|logistics.amazon.com|www.logistics.amazon.co.uk|www.logistics.amazon.com|flex.amazon.com|be-logistics.amazon.fr|origin-logistics.amazon.com|origin-be-logistics.amazon.fr|www.be-logistics.amazon.fr|logistics.amazon.com.mx|www.logistics.amazon.com.mx|origin-logistics.amazon.com.mx|logistics.amazon.ca|www.logistics.amazon.ca|origin-logistics.amazon.ca|logistics.amazon.com.br|www.logistics.amazon.com.br|origin-logistics.amazon.com.br|origin-logistics.amazon.co.uk|logistics.amazon.es|www.logistics.amazon.es|origin-logistics.amazon.es|logistics.amazon.nl|www.logistics.amazon.nl|origin-logistics.amazon.nl|www.logistics.amazon.eg|logistics.amazon.eg|origin-logistics.amazon.eg|ie-logistics.amazon.co.uk|www.ie-logistics.amazon.co.uk|origin-ie-logistics.amazon.co.uk|flex.amazon.es|flex.amazon.ca|flex.amazon.com.mx|flex.amazon.co.uk|logistics.amazon.de|www.logistics.amazon.de|flex.amazon.de|origin-logistics.amazon.de|logistics.amazon.it|www.logistics.amazon.it|flex.amazon.it|origin-logistics.amazon.it|logistics.amazon.in|flex.amazon.in|www.logistics.amazon.in|origin-logistics.amazon.in|logistics.amazon.fr|www.logistics.amazon.fr|flex.amazon.fr|origin-logistics.amazon.fr|origin-at-logistics.amazon.de|www.at-logistics.amazon.de|at-logistics.amazon.de|origin-logistics.amazon.sa|www.logistics.amazon.sa|logistics.amazon.sa|logistics.amazon.com.tr|www.logistics.amazon.com.tr|origin-www.logistics.amazon.com.tr|origin-logistics.amazon.ae|www.logistics.amazon.ae|logistics.amazon.ae|logistics.amazon.co.jp|flex.amazon.co.jp|www.logistics.amazon.co.jp|origin-logistics.amazon.co.jp|logistics.amazon.com.au|flex.amazon.com.au|www.logistics.amazon.com.au|origin-logistics.amazon.com.au|logistics.amazon.com.sg|www.logistics.amazon.com.sg|flex.amazon.com.sg|origin-logistics.amazon.com.sg|www.logistics.amazon.pt|logistics.amazon.pt|origin-logistics.amazon.pt","","false"
"13.226.178.240","ip-hoarder.cloudfront.aws.dev","","","","","ip-hoarder.cloudfront.aws.dev|*.ip-hoarder.cloudfront.aws.dev","","false"
"13.226.178.118","*.execute-api.eu-south-2.amazonaws.com","","","","","*.execute-api.eu-south-2.amazonaws.com","","false"
"13.226.179.2","test1.acmtest.saurabhbindal.com","","","","","test1.acmtest.saurabhbindal.com|test2.acmtest.saurabhbindal.com","","false"
"13.226.178.175","video.stro.be","","","","","video.stro.be","","false"
"13.226.179.10","*.svc.nhl.com","BAMTECH, LLC","US","","New York","*.svc.nhl.com|svc.nhl.com","","false"
"13.226.178.170","*.idexximagebank.com","","","","","*.idexximagebank.com","","false"
"13.226.178.247","ip-hoarder.cloudfront.aws.dev","","","","","ip-hoarder.cloudfront.aws.dev|*.ip-hoarder.cloudfront.aws.dev","","false"
"13.226.178.176","beta.client.legacy-app.games.a2z.com","","","","","origin-beta.client.legacy-app.games.a2z.com|beta.client.legacy-app.games.a2z.com","","false"
"13.226.178.246","ip-hoarder.cloudfront.aws.dev","","","","","ip-hoarder.cloudfront.aws.dev|*.ip-hoarder.cloudfront.aws.dev","","false"
"13.226.178.166","www.deveronapp.com","","","","","www.deveronapp.com","","false"
"13.226.178.241","ip-hoarder.cloudfront.aws.dev","","","","","ip-hoarder.cloudfront.aws.dev|*.ip-hoarder.cloudfront.aws.dev","","false"
"13.226.178.167","*.awsapps.com","","","","","*.awsapps.com|*.awsapps.net","","false"
"13.226.179.8","*.mymortgage-app.net","","","","","*.mymortgage-app.net|*.qa.mymortgage-app.net|*.dev.mymortgage-app.net|*.int.mymortgage-app.net|*.stg.mymortgage-app.net|*.peg.mymortgage-app.net|mymortgage-app.net|*.prod.mymortgage-app.net","","false"
"13.226.178.162","*.cdn.merchant.wish.com","","","","","*.cdn.merchant.wish.com|cdn.merchant.wish.com","","false"
"13.226.178.248","ip-hoarder.cloudfront.aws.dev","","","","","ip-hoarder.cloudfront.aws.dev|*.ip-hoarder.cloudfront.aws.dev","","false"
"13.226.178.165","*.nnn.ed.nico","DWANGO Co.,Ltd.","JP","Chuo-ku","Tokyo","*.nnn.ed.nico|nnn.ed.nico","","false"
"13.226.178.212","cf.dashaws.com","","","","","cf.dashaws.com","","false"
"13.226.179.5","dolphin-fe-preprod.amazon.com","","","","","dolphin-fe-preprod.amazon.com|origin-dolphin-fe-preprod.amazon.com","","false"
"13.226.178.172","*.unplugdining.com","","","","","*.unplugdining.com","","false"
"13.226.178.171","spothero.com","SpotHero Inc.","US","Chicago","Illinois","spothero.com|www.spothero.com|api.spothero.com","","false"
"13.226.179.3","riesling.reactor-prod.e.chainalysis.com","","","","","riesling.reactor-prod.e.chainalysis.com|field.chainalysis.com","","false"
"13.226.178.226","*.fate-go.com.tw","","","","","*.fate-go.com.tw|fate-go.com.tw","","false"
"13.226.178.235","www.amazon.com","","","","","amazon.com|amzn.com|uedata.amazon.com|us.amazon.com|www.amazon.com|www.amzn.com|corporate.amazon.com|buybox.amazon.com|iphone.amazon.com|yp.amazon.com|home.amazon.com|origin-www.amazon.com|buckeye-retail-website.amazon.com|huddles.amazon.com|p-nt-www-amazon-com-kalias.amazon.com|p-yo-www-amazon-com-kalias.amazon.com|p-y3-www-amazon-com-kalias.amazon.com|yellowpages.amazon.com|www.m.amazon.com|www.cdn.amazon.com|test-www.amazon.com|mp3recs.amazon.com|konrad-test.amazon.com","","false"
"13.226.178.221","*.n-ship.jp","NEXCO System Solutions Company Limited","JP","Shinjuku-ku","Tokyo","*.n-ship.jp|n-ship.jp","","false"
"13.226.178.232","aax-eu.amazon.com","","","","","aax-eu.amazon.com|origin-aax-eu.amazon.com|aax-eu.amazon.ae|aax-eu.amazon.sa|aax-eu.amazon.fr|aax-eu.amazon.de|aax-eu.amazon.co.uk|aax-eu.amazon.in|aax-eu.amazon.it|aax-eu.amazon.es|aax-eu.amazon.com.tr|aax-eu.amazon.nl|aax-eu.amazon.se","","false"
"13.226.179.35","*.geocomply.com","","","","","*.geocomply.com|geocomply.com","","false"
"13.226.178.168","*.amoad.com","","","","","*.amoad.com|amoad.com","","false"
"13.226.179.29","update.hicloud.com","Huawei Software Technologies Co., Ltd.","CN","Nanjing","Jiangsu","update.hicloud.com|*.dbankcdn.com|*.dbankcdn.cn|*.hicloud.com","","false"
"13.226.178.229","*.thinkthroughmath.com","","","","","*.thinkthroughmath.com","","false"
"13.226.178.182","*.yuanshen.com","上海米哈游天命科技有限公司","CN","","上海市","*.yuanshen.com|yuanshen.com","","false"
"13.226.178.227","waftest.neuroncloud.ai","","","","","waftest.neuroncloud.ai","","false"
"13.226.179.33","*.stage.kinesso.ninja","","","","","*.stage.kinesso.ninja","","false"
"13.226.178.211","pagoda21.com","","","","","pagoda21.com|*.pagoda21.com","","false"
"13.226.178.220","twitchcdn.tech","","","","","twitchcdn.tech|*.twitchcdn.tech|*.twitchapp.tech","","false"
"13.226.178.223","vodafone.gr","Vodafone Group Services Limited","GB","Newbury","","vodafone.gr|www.vodafone.gr","","false"
"13.226.178.233","sus.sndbx.junipercloud.net","","","","","sus.sndbx.junipercloud.net|signatures.juniper.net|services.netscreen.com","","false"
"13.226.178.245","ip-hoarder.cloudfront.aws.dev","","","","","ip-hoarder.cloudfront.aws.dev|*.ip-hoarder.cloudfront.aws.dev","","false"
"13.226.179.28","*.insideouthq.com","Disney Enterprises, Inc","US","Seattle","Washington","*.insideouthq.com|insideouthq.com","","false"
"13.226.178.177","www.primevideo.com","","","","","www.primevideo.com","","false"
"13.226.178.179","*.centero.kr","SK Inc.","KR","","Seoul","*.centero.kr|centero.kr","","false"
"13.226.179.24","m.bookdepository.com","","","","","m.bookdepository.com|bookdepository.com|www.bookdepository.com|origin-www.bookdepository.com|bookdepository.de|www.bookdepository.de|bookdepository.co.uk|www.bookdepository.co.uk","","false"
"13.226.179.17","tgdfm.adtdp.com","","","","","tgdfm.adtdp.com","","false"
"13.226.179.9","*.awsapps.com","","","","","*.awsapps.com|*.awsapps.net","","false"
"13.226.179.27","preprod.cdn.nonprod.rscomp.systems","","","","","preprod.cdn.nonprod.rscomp.systems","","false"
"13.226.179.13","hvc.5a54bda602.uconnectservice.car","Sirius XM Connected Vehicle Services Inc","US","Irving","Texas","hvc.5a54bda602.uconnectservice.car","","false"
"13.226.179.25","*.disneymoviesanywhere.com","Disney Enterprises, Inc","US","Seattle","Washington","*.disneymoviesanywhere.com|disneymoviesanywhere.com","","false"
"13.226.179.36","*.brightcloud.com","","","","","*.brightcloud.com","","false"
"13.226.179.60","*.awsapps.com","","","","","*.awsapps.com|*.awsapps.net","","false"
"13.226.179.14","cdn.hands.net","","","","","cdn.hands.net","","false"
"13.226.179.51","*.cbm-customer.meco-soldel.com","","","","","*.cbm-customer.meco-soldel.com","","false"
"13.226.179.12","cdnsta.fca.telematics.net","","","","","cdnsta.fca.telematics.net|www.cdnsta.fca.telematics.net","","false"
"13.226.179.44","aftersales.test.ferrari.com","","","","","aftersales.test.ferrari.com","","false"
"13.226.179.16","*.live.cf.md.bbci.co.uk","BRITISH BROADCASTING CORPORATION","GB","London","London","*.live.cf.md.bbci.co.uk|live.cf.md.bbci.co.uk","","false"
"13.226.179.19","*.blue-sciforma.net","","","","","*.blue-sciforma.net","","false"
"13.226.179.22","*.secb2b.com","Samsung Electronics Co., Ltd.","KR","","Gyeonggi","*.secb2b.com|secb2b.com","","false"
"13.226.179.53","devenues.com","","","","","devenues.com","","false"
"13.226.179.52","www.3ds-dc.hsbc.com.sg","The Hongkong and Shanghai Banking Corporation Limited","HK","Central","","www.3ds-dc.hsbc.com.sg|3ds-dc.hsbc.com.sg","","false"
"13.226.179.48","*.navigacloud.com","","","","","*.navigacloud.com","","false"
"13.226.179.49","*.awsapps.com","","","","","*.awsapps.com|*.awsapps.net","","false"
"13.226.179.34","*.execute-api.eu-south-2.amazonaws.com","","","","","*.execute-api.eu-south-2.amazonaws.com","","false"
"13.226.178.180","*.fastretailing.com","","","","","*.fastretailing.com","","false"
"13.226.179.11","advertising.amazon.com","","","","","advertising.amazon.ca|advertising.amazon.com|advertising.amazon.com.mx|origin-advertising.amazon.com|www.advertising.amazon.com|advertising.amazon.com.br|advertising.amazon.cl|advertising.amazon.com.co","","false"
"13.226.179.47","amuseplus.jp","","","","","amuseplus.jp|*.amuseplus.jp","","false"
"13.226.179.46","*.ap-southeast-2.multichprod.a-sharedinfra.net","","","","","*.ap-southeast-2.multichprod.a-sharedinfra.net","","false"
"13.226.179.50","*.eufylife.com","","","","","*.eufylife.com|eufylife.com","","false"
"13.226.179.58","*.auth0.com","","","","","*.auth0.com|auth0.com","","false"
"13.226.179.45","*.d2c.ne.jp","D2C Inc.","JP","Minato-ku","Tokyo","*.d2c.ne.jp","","false"
"13.226.179.56","www.sellercentral.amazon.dev","","","","","www.sellercentral.amazon.dev|gamma.sellercentral.amazon.dev","","false"
"13.226.179.101","*.tosconfig.com","","","","","*.tosconfig.com","","false"
"13.226.179.54","*.53.localytics.com","","","","","*.53.localytics.com","","false"
"13.226.179.135","www.amazon.it","","","","","www.amazon.it|amazon.it|origin-www.amazon.it|p-nt-www-amazon-it-kalias.amazon.it|p-yo-www-amazon-it-kalias.amazon.it|p-y3-www-amazon-it-kalias.amazon.it","","false"
"13.226.179.42","img.fujoho.jp","","","","","img.fujoho.jp","","false"
"13.226.179.117","*.altium.com","","","","","*.altium.com|altium.com","","false"
"13.226.179.107","distribution.cloudfront-test.net","Amazon Inc.","US","Seattle","Washington","distribution.cloudfront-test.net","","true"
"13.226.179.131","*.twitch.tv","","","","","*.twitch.tv","","false"
"13.226.179.57","chime.aws","","","","","chime.aws","","false"
"13.226.179.102","*.autopartsbridge.com","","","","","*.autopartsbridge.com|*.qa-syd.autopartsbridge.com|*.qa-syd-admin.autopartsbridge.com","","false"
"13.226.179.112","*.pepeapi.com","","","","","*.pepeapi.com|*.admin.pepeapi.com|*.api.pepeapi.com|*.support.pepeapi.com","","false"
"13.226.179.134","cdn.prod.uidapi.com","","","","","cdn.prod.uidapi.com","","false"
"13.226.179.85","*.netmarble.net","Netmarble Corporation","KR","Guro-gu","Seoul","*.netmarble.net|netmarble.net","","false"
"13.226.179.120","data-eu.amazon.com","","","","","data.amazon.co.uk|data.amazon.de|data.amazon.fr|data.amazon.es|data.amazon.com.tr|data.amazon.it|data.amazon.ae|data.amazon.nl|data.amazon.in|data.amazon.eg|data.amazon.sa|data.amazon.se|data.amazon.pl|data-eu.amazon.com|data.amazon.com.ng|data.amazon.co.za|data.amazon.com.be|origin-data-eu.amazon.com","","false"
"13.226.179.110","shan789.org","","","","","shan789.org|shan789.co|www.shan789.net|shan789.net|shan789.com|www.shan789.org|www.shan789.co|shan789.cc|www.shan789.cc|www.shan789.com","","false"
"13.226.179.124","*.readingiq.com","","","","","*.readingiq.com","","false"
"13.226.179.99","*.acordsolutions.net","ACORD Solutions Group, Inc.","US","Pearl River","New York","*.acordsolutions.net|acordsolutions.net","","false"
"13.226.179.125","*.test.iot.irobotapi.com","","","","","*.test.iot.irobotapi.com","","false"
"13.226.179.84","tripkit.jeppesen.com","","","","","tripkit.jeppesen.com","","false"
"13.226.179.115","d2pc77ho1balo1.cloudfront.net","Amazon.com, Inc.","US","Seattle","Washington","d3tyii1ml8c0t0.cloudfront.net|d2pc77ho1balo1.cloudfront.net","","false"
"13.226.179.103","*.goatgames.com","","","","","*.goatgames.com|goatgames.com","","false"
"13.226.179.130","www.audible.fr","","","","","www.audible.fr|audible.fr|beta.audible.fr|origin-www.audible.fr","","false"
"13.226.179.104","app.avhana.com","","","","","app.avhana.com|*.app.avhana.com","","false"
"13.226.179.141","brightcove.com","Brightcove Inc.","US","Boston","Massachusetts","brightcove.com|accounts-stage.brightcove.com|accounts.brightcove.com|blog-stage.brightcove.com|blog-stage.zencoder.com|blog.brightcove.com|blog.zencoder.com|community-stage.brightcove.com|community.brightcove.com|developer-stage.brightcove.com|developer.brightcove.com|docs-stage.brightcove.com|docs.brightcove.com|files-stage.brightcove.com|files.brightcove.com|help-stage.brightcove.com|help.brightcove.com|img-stage.brightcove.com|img.brightcove.com|play-stage.brightcove.com|play.brightcove.com|priv-stage.brightcove.com|priv.brightcove.com|sso-stage.brightcove.com|sso.brightcove.com|support-stage.brightcove.com|support.brightcove.com|videos-stage.brightcove.com|videos.brightcove.com|webmaster-stage.brightcove.com|webmaster.brightcove.com|www-stage.brightcove.com|www-stage.zencoder.com|www.brightcove.com|www.zencoder.com|zencoder.com","","false"
"13.226.179.108","*.ekdgd.com","","","","","*.ekdgd.com|ekdgd.com","","false"
"13.226.179.72","*.bada.com","Samsung Electronics Co.,Ltd.","KR","Suwon-si","Gyeonggi-do","*.bada.com|bada.com","","false"
"13.226.179.145","*.glupen.studio.glulive.com","","","","","*.glupen.studio.glulive.com","","false"
"13.226.179.113","api2.asu-uto-bi-caliper-endpoint-dev.com","","","","","api2.asu-uto-bi-caliper-endpoint-dev.com","","false"
"13.226.179.81","epark.jp","EPARK, Inc.","JP","Minato-ku","Tokyo","epark.jp","","false"
"13.226.179.136","*.samsungcms.com","Samsung Electronics Co.,Ltd.","KR","Suwon-si","Gyeonggi-do","*.samsungcms.com|samsungcms.com","","false"
"13.226.179.150","*.gamevil.com","COM2US HOLDINGS Corp.","KR","Geumcheon-gu","Seoul","*.gamevil.com|gamevil.com","","false"
"13.226.179.140","*.innov8.space","","","","","*.innov8.space","","false"
"13.226.179.109","*.i-ready.com","","","","","*.i-ready.com","","false"
"13.226.179.92","reonpocket.sony.com","","","","","reonpocket.sony.com","","false"
"13.226.179.126","resources-stage.licenses.adobe.com","Adobe Inc.","US","San Jose","California","resources-stage.licenses.adobe.com","","false"
"13.226.179.83","www.audible.co.jp","","","","","www.audible.co.jp|audible.co.jp|origin-www.audible.co.jp","","false"
"13.226.179.100","*.game34.klabgames.net","","","","","*.game34.klabgames.net","","false"
"13.226.179.133","*.kihnoframe.com","","","","","*.kihnoframe.com","","false"
"13.226.179.82","js.pusher.com","","","","","js.pusher.com|www.js.pusher.com","","false"
"13.226.179.142","metis.alexa.com","","","","","alexa-metis.amazon.com|metis-preview.amazon.com|metis.alexa.com|metis-preview.aka.amazon.com|www.alexa.com","","false"
"13.226.179.66","teespring.engineering","","","","","teespring.engineering|*.teespring.engineering","","false"
"13.226.179.65","*.loggly.com","","","","","*.loggly.com","","false"
"13.226.179.156","*.staging.acer.org","","","","","*.staging.acer.org","","false"
"13.226.179.137","y5f.honda.co.jp","","","","","y5f.honda.co.jp|*.y5f.honda.co.jp","","false"
"13.226.179.75","valorlatitude.com","","","","","valorlatitude.com|www.valorlatitude.com","","false"
"13.226.179.138","s3.icred.digital","","","","","s3.icred.digital","","false"
"13.226.179.155","ehs.com","","","","","ehs.com|*.demo.ehs.com|*.accelerate.ehs.com|*.risk.ehs.com|*.ehs.com|*.velocity.ehs.com|*.api.ehs.com|*.integration.ehs.com|*.v6.ehs.com","","false"
"13.226.179.148","*.xiti.com","APPLIED TECHNOLOGIES INTERNET S.A.S.","FR","Mérignac","Nouvelle-Aquitaine","*.xiti.com|xiti.com","","false"
"13.226.179.79","*.videopass.auone.jp","KDDI CORPORATION","JP","Chiyoda-ku","Tokyo-to","*.videopass.auone.jp|videopass.auone.jp","","false"
"13.226.179.64","cdn.smartpass.auone.jp","","","","","cdn.smartpass.auone.jp","","false"
"13.226.179.78","iam-app.jp","","","","","iam-app.jp|*.iam-app.jp","","false"
"13.226.179.153","*.awsapps.com","","","","","*.awsapps.com|*.awsapps.net","","false"
"13.226.179.69","*.ayladev.com","Ayla Networks Inc","US","Milpitas","California","*.ayladev.com","","false"
"13.226.179.94","*.gamecircus.com","","","","","*.gamecircus.com","","false"
"13.226.179.128","*.playfirst.com","","","","","*.playfirst.com","","false"
"13.226.179.144","*.jamcity.com","","","","","*.jamcity.com|jamcity.com","","false"
"13.226.179.127","ambia-onboarding.goaptive.com","","","","","ambia-onboarding.goaptive.com","","false"
"13.226.179.93","api.smartpass.auone.jp","","","","","api.smartpass.auone.jp","","false"
"13.226.179.61","amr2api-dev.towngas-uat.com","","","","","amr2api-dev.towngas-uat.com","","false"
"13.226.179.166","st.pass.auone.jp","","","","","st.pass.auone.jp","","false"
"13.226.179.87","www.audible.it","","","","","www.audible.it|audible.it|origin-www.audible.it","","false"
"13.226.179.147","livethumb.huluim.com","Hulu, LLC","US","","California","livethumb.huluim.com|livethumb.aor.huluim.com","","false"
"13.226.179.160","wnu.com","Epoch.com, LLC","US","Santa Monica","California","aga.wnu.com|api.wnu.com|checkout.wnu.com|enigma.wnu.com|pay.wnu.com|services.wnu.com|static.wnu.com|www.wnu.com|wnu.com","","false"
"13.226.179.169","*.k5aaev.shop","","","","","*.k5aaev.shop","","false"
"13.226.179.159","*.production.scrabble.withbuddies.com","","","","","*.production.scrabble.withbuddies.com","","false"
