IP Address,Common Name,Organization,Country,Locality,Province,Subject Alternative DNS Name,Subject Alternative IP address,Self-signed
"34.91.254.127","34.90.156.171","","","","","kubernetes|kubernetes.default|kubernetes.default.svc|kubernetes.default.svc.cluster.local","34.90.156.171|10.103.192.1|34.91.37.245|34.91.254.127|34.147.22.225|10.103.184.2","false"
"34.91.254.138","34.91.254.138","","","","","kubernetes|kubernetes.default|kubernetes.default.svc|kubernetes.default.svc.cluster.local","34.91.254.138|10.112.0.1|34.147.79.19|10.164.0.8","false"
"34.91.254.152","34.91.254.152","","","","","kubernetes|kubernetes.default|kubernetes.default.svc|kubernetes.default.svc.cluster.local","34.91.254.152|10.124.0.1|34.147.11.244|34.90.107.209|35.204.46.254|10.164.0.2","false"
"34.91.254.155","34.91.179.216","","","","","kubernetes|kubernetes.default|kubernetes.default.svc|kubernetes.default.svc.cluster.local","34.91.179.216|10.112.247.1|35.204.169.81|34.91.184.168|34.91.254.155|172.16.0.242","false"
"34.91.254.167","35.204.204.157","","","","","kubernetes|kubernetes.default|kubernetes.default.svc|kubernetes.default.svc.cluster.local","35.204.204.157|10.76.0.1|34.91.254.167|35.204.98.6|34.147.70.21|10.164.0.25","false"
"34.91.254.166","34.147.92.134","","","","","kubernetes|kubernetes.default|kubernetes.default.svc|kubernetes.default.svc.cluster.local","34.147.92.134|10.80.0.1|34.32.212.252|34.91.254.166|34.90.114.168|10.164.0.3","false"
"34.91.254.154","*.account.deity.io","","","","","*.account.deity.io|*.dev.account.deity.io|*.storybook.deity.io","","false"
"34.91.254.179","34.141.192.13","","","","","kubernetes|kubernetes.default|kubernetes.default.svc|kubernetes.default.svc.cluster.local","34.141.192.13|10.168.0.1|34.91.254.179|10.10.10.2","false"
"34.91.254.182","35.204.240.16","","","","","kubernetes|kubernetes.default|kubernetes.default.svc|kubernetes.default.svc.cluster.local","35.204.240.16|10.16.0.1|34.91.74.58|35.204.125.35|34.91.254.182|10.164.0.116","false"
"34.91.254.184","34.147.70.224","","","","","kubernetes|kubernetes.default|kubernetes.default.svc|kubernetes.default.svc.cluster.local","34.147.70.224|10.118.224.1|34.91.254.184|10.164.0.2","false"
"34.91.254.204","35.204.11.16","","","","","kubernetes|kubernetes.default|kubernetes.default.svc|kubernetes.default.svc.cluster.local","35.204.11.16|10.16.0.1|35.204.220.201|35.204.214.130|34.91.254.204|10.164.15.250","false"
