IP Address,Common Name,Organization,Country,Locality,Province,Subject Alternative DNS Name,Subject Alternative IP address,Self-signed
"35.237.10.8","35.237.46.146","","","","","kubernetes|kubernetes.default|kubernetes.default.svc|kubernetes.default.svc.cluster.local","35.237.46.146|10.99.128.1|35.227.20.136|34.75.190.59|35.237.10.8|10.10.2.42","false"
"35.237.9.46","*.us-east1.gcp.confluent.cloud","","","","","*.cert-intl-9d8emmdz.us-east1.gcp.confluent.cloud|*.us-east1.gcp.confluent.cloud","","false"
"35.237.9.106","34.148.208.2","","","","","kubernetes|kubernetes.default|kubernetes.default.svc|kubernetes.default.svc.cluster.local","34.148.208.2|10.8.0.1|35.237.9.106|10.142.0.2","false"
"35.237.10.225","live-game-us-sc7.live.flx.wintercloud.net","","","","","live-game-us-sc7.live.flx.wintercloud.net","","false"
"35.237.10.206","*.verificient.com","","","","","*.verificient.com|verificient.com","","false"
"35.237.9.172","35.237.172.221","","","","","kubernetes|kubernetes.default|kubernetes.default.svc|kubernetes.default.svc.cluster.local","35.237.172.221|10.113.0.1|34.73.125.33|35.231.4.48|35.237.9.172|172.16.0.2","false"
"35.237.9.135","35.237.9.135","","","","","kubernetes|kubernetes.default|kubernetes.default.svc|kubernetes.default.svc.cluster.local","35.237.9.135|10.3.240.1|35.190.173.164|10.142.0.30","false"
"35.237.10.144","35.196.199.168","","","","","kubernetes|kubernetes.default|kubernetes.default.svc|kubernetes.default.svc.cluster.local","35.196.199.168|10.244.59.1|35.237.10.144|34.138.115.79|35.196.81.255|10.252.3.178","false"
"35.237.10.107","35.185.46.154","","","","","kubernetes|kubernetes.default|kubernetes.default.svc|kubernetes.default.svc.cluster.local","35.185.46.154|10.3.240.1|34.73.131.141|35.237.166.108|35.237.10.107","false"
"35.237.10.193","35.237.10.193","","","","","kubernetes|kubernetes.default|kubernetes.default.svc|kubernetes.default.svc.cluster.local","35.237.10.193|10.231.0.1|34.73.218.94|35.190.145.228|34.75.216.83|10.203.0.26","false"
"35.237.10.28","arr-law.com","","","","","arr-law.com|arr-law.se","","false"
"35.237.10.164","35.237.10.164","","","","","kubernetes|kubernetes.default|kubernetes.default.svc|kubernetes.default.svc.cluster.local","35.237.10.164|10.95.0.1|35.231.153.216|35.227.69.15|35.229.72.134","false"
"35.237.9.175","34.138.153.7","","","","","kubernetes|kubernetes.default|kubernetes.default.svc|kubernetes.default.svc.cluster.local","34.138.153.7|10.3.240.1|35.243.211.135|35.237.9.175|35.231.244.19","false"
"35.237.9.198","www.example.com","Bitnami","","","","","","true"
"35.237.9.251","35.185.49.116","","","","","kubernetes|kubernetes.default|kubernetes.default.svc|kubernetes.default.svc.cluster.local","35.185.49.116|10.145.128.1|34.148.155.26|35.237.9.251|34.23.60.36|192.168.0.38","false"
"35.237.10.252","35.237.10.252","","","","","kubernetes|kubernetes.default|kubernetes.default.svc|kubernetes.default.svc.cluster.local","35.237.10.252|10.128.0.1|35.231.115.59|34.75.34.48|35.196.147.113|172.16.0.2","false"
"35.237.9.215","35.237.212.37","","","","","kubernetes|kubernetes.default|kubernetes.default.svc|kubernetes.default.svc.cluster.local","35.237.212.37|10.64.0.1|35.229.110.85|35.237.9.215|35.196.23.71|10.142.0.6","false"
