IP Address,Common Name,Organization,Country,Locality,Province,Subject Alternative DNS Name,Subject Alternative IP address,Self-signed
"3.124.201.1","2lrn4-test.academysmart.com","","","","","2lrn4-test.academysmart.com","","false"
"3.124.201.8","tool.brimacs.com","","","","","aws.creacheck.com|cdu-wahlkampf.de|creacheck-ihk-wahlen.de|creacheck.demando.de|creatives.robethood.net|design.radiogroup.de|designportal.junge-union.de|designtool.ekd-solar.de|deynique.creacheck.de|enterprise.creacheck.de|fensterfuchs-marketing.de|flyeralarm.creacheck.de|kensington-marketing.com|koenig-bauer.creacheck.de|marketing-stoecker-wittmann.de|marketing.koch-chemie.com|matricks-portal.de|tool.brimacs.com|www.cdu-wahlkampf.de|www.fensterfuchs-marketing.de|www.kensington-marketing.com|www.marketing-stoecker-wittmann.de|www.matricks-portal.de","","false"
"3.124.201.11","caprover.com","CapRover.com","CA","Vancouver","British Columbia","","","true"
"3.124.201.14","login-ls-demo1-tenant.dhr-lsdigital.com","","","","","login-ls-demo1-tenant.dhr-lsdigital.com","","false"
"3.124.201.12","*.receiver.apps.fireeye.com","Musarubra US LLC","US","","California","*.receiver.apps.fireeye.com|receiver.apps.fireeye.com","","false"
"3.124.201.17","*.eu-central-1.es.amazonaws.com","","","","","*.eu-central-1.es.amazonaws.com","","false"
"3.124.201.24","*.eu-central-1.es.amazonaws.com","","","","","*.eu-central-1.es.amazonaws.com","","false"
"3.124.201.23","*.assistme.io","","","","","*.assistme.io","","false"
"3.124.201.27","mh-mcstaging2.phoenix-media.cloud","Magento Cloud","FR","","","","","true"
"3.124.201.36","egonboehlergmbh.3cx.at","","","","","egonboehlergmbh.3cx.at","","false"
"3.124.201.35","automate.archadia.io","","","","","automate.archadia.io|monitor.archadia.io|www.automate.archadia.io|www.monitor.archadia.io","","false"
"3.124.201.33","kube-apiserver","","","","","3060bb2ff4804937de2d3f6869a18db3.gr7.eu-central-1.eks.amazonaws.com|ip-172-16-58-93.eu-central-1.compute.internal|kubernetes|kubernetes.default|kubernetes.default.svc|kubernetes.default.svc.cluster.local","172.20.0.1|10.1.20.64|172.16.58.93","false"
"3.124.201.37","*.greps.dev","","","","","*.greps.dev","","false"
"3.124.201.40","sbtd-sufh.nneap-prd.pub.aws.novonordisk.com","","","","","sbtd-sufh.nneap-prd.pub.aws.novonordisk.com","","false"
"3.124.201.48","*.execute-api.eu-central-1.amazonaws.com","","","","","*.execute-api.eu-central-1.amazonaws.com","","false"
"3.124.201.56","*.audvice.com","","","","","*.audvice.com","","false"
"3.124.201.54","*.sw01-test.opentext.cloud","Open Text Corporation","CA","","Ontario","*.sw01-test.opentext.cloud|sw01-test.opentext.cloud","","false"
"3.124.201.59","ocf.euc1.eu.alationcloud.com","Alation, Inc.","US","Redwood City","CA","ocf.euc1.eu.alationcloud.com","","false"
"3.124.201.45","kube-apiserver","","","","","e91d80730fb66066e5cdf9440a86086c.gr7.eu-central-1.eks.amazonaws.com|ip-10-0-108-91.eu-central-1.compute.internal|kubernetes|kubernetes.default|kubernetes.default.svc|kubernetes.default.svc.cluster.local","10.100.0.1|172.31.8.178|10.0.108.91","false"
"3.124.201.62","kube-apiserver","","","","","54bb65105255170d4c1a49fcca8098a8.gr7.eu-central-1.eks.amazonaws.com|ip-172-16-51-156.eu-central-1.compute.internal|kubernetes|kubernetes.default|kubernetes.default.svc|kubernetes.default.svc.cluster.local","172.20.0.1|10.129.19.113|172.16.51.156","false"
"3.124.201.61","sr-stage.com","","","","","sr-stage.com|*.sr-stage.com|*.branch.sr-stage.com","","false"
"3.124.201.67","mjngwt.com","","","","","mjngwt.com|preprod.mjngwt.com|*.dev.mjngwt.com|*.prod.mjngwt.com|*.stage.mjngwt.com|dev.mjngwt.com|*.preprod.mjngwt.com|prod.mjngwt.com|stage.mjngwt.com|*.mjngwt.com","","false"
"3.124.201.69","*.prod.cinetext.net","","","","","*.prod.cinetext.net","","false"
"3.124.201.74","fidelity-dev-green.dao.management","","","","","fidelity-dev-green.dao.management","","false"
"3.124.201.80","TRAEFIK DEFAULT CERT","","","","","c29429b17ca5702fbfe25fc866549fde.d2e0cdf385a49a8f6867c5fe777b266e.traefik.default","","true"
"3.124.201.83","fungres.org","","","","","fungres.org","","false"
